2015-09-28 23:31:38,587 [6] INFO  Umbraco.Core.CoreBootManager - [P3184/T1/D2] Umbraco 7.2.8 application starting on RAY
2015-09-28 23:31:38,695 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Determining hash of code files on disk
2015-09-28 23:31:38,711 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Hash determined (took 15ms)
2015-09-28 23:31:38,723 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-28 23:31:38,979 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 254ms)
2015-09-28 23:31:39,063 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-28 23:31:39,075 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 9ms)
2015-09-28 23:31:39,075 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-28 23:31:39,087 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 11ms)
2015-09-28 23:31:39,111 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-28 23:31:39,119 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 9ms)
2015-09-28 23:31:39,119 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-28 23:31:39,131 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 10ms)
2015-09-28 23:31:39,191 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-28 23:31:39,199 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 7ms)
2015-09-28 23:31:39,199 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-28 23:31:39,207 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 7ms)
2015-09-28 23:31:40,435 [6] INFO  Umbraco.Core.DatabaseContext - [P3184/T1/D2] CanConnect = True
2015-09-28 23:31:40,444 [6] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P3184/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-09-28 23:31:40,456 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P3184/T1/D2] Initializing Examine and binding to business logic events
2015-09-28 23:31:40,504 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P3184/T1/D2] Adding examine event handlers for index providers: 3
2015-09-28 23:31:40,516 [6] INFO  Umbraco.Core.CoreBootManager - [P3184/T1/D2] Umbraco application startup complete (took 1866ms)
2015-09-28 23:31:41,702 [6] INFO  Umbraco.Core.ApplicationContext - [P3184/T1/D2] ApplicationUrl: http://localhost:49650/umbraco (UmbracoModule request)
2015-09-28 23:31:41,838 [6] INFO  umbraco.content - [P3184/T1/D2] Load Xml from file...
2015-09-28 23:31:41,867 [6] WARN  umbraco.content - [P3184/T1/D2] Failed to load Xml, file does not exist.
2015-09-28 23:31:41,871 [6] INFO  umbraco.content - [P3184/T1/D2] Loading content from database...
2015-09-28 23:31:45,995 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-09-28 23:31:46,007 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 9ms)
2015-09-28 23:31:46,107 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-09-28 23:31:46,115 [6] INFO  Umbraco.Core.PluginManager - [P3184/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 11ms)
2015-09-28 23:32:30,633 [6] INFO  umbraco.content - [P3184/T1/D2] Save Xml to file...
2015-09-28 23:32:30,653 [6] INFO  umbraco.content - [P3184/T1/D2] Saved Xml to file.
